"period","anio","Y","Y_eff","E","CO2","Cstock","damage","YD","Cd","Hh","TXd","Ns","def","phi","sigma","omega","E_g","E_c","Y_g","Y_c","CO2_g","CO2_c","esc"
17,2038,85573.8622682061,83068.388205864,177689.114355976,7292.19719268426,33515.2389426752,0.0292784969140388,72026.2041037971,72046.6113566369,54450.9174255243,11042.1841020669,2116449.87461774,2.90400216097934,2.07644144656066,0.0410390766992924,0.348482314677923,61921.5138638408,115767.600492136,48010.2590765418,37563.6031916643,546.229529046226,6745.96766363803,"2. Global"
18,2039,85557.2241976842,83053.5994183783,177654.566376754,7290.77937551514,33497.0142461362,0.0292625760452575,72013.5622410024,72029.9732861151,54434.5063804115,11040.0371773759,2116038.37464173,2.9070762375908,2.07644144656066,0.0410390766992924,0.348482314677923,61909.4745040739,115745.09187268,48000.9244730178,37556.2997246664,546.123325993278,6744.65604952187,"2. Global"
19,2040,85543.9433690742,83041.8567185997,177626.989513784,7289.64764652058,33481.6322628389,0.0292491385354946,72003.5332578967,72016.6924575051,54421.3471808031,11038.323460703,2115709.90742872,2.90953088300805,2.07644144656066,0.0410390766992924,0.348482314677923,61899.8644550345,115727.125058749,47993.4734125489,37550.4699565253,546.03855266922,6743.60909385136,"2. Global"
20,2041,85533.3753211136,83032.5637715713,177605.045580989,7288.74708777953,33468.7042240684,0.0292378447612239,71995.6039787932,72006.1244095445,54410.8267500519,11036.9597927781,2115448.53388324,2.91148468003492,2.07644144656066,0.0410390766992924,0.348482314677923,61892.217382541,115712.828198448,47987.5443273461,37545.8309937675,545.971095390707,6742.77599238882,"2. Global"
21,2042,85524.9931274623,83025.2352788828,177587.640446678,7288.03279713759,33457.8812416455,0.0292283899380609,71989.3570982118,71997.7422158932,54402.4416323705,11035.8781806711,2115241.22183454,2.91303470458632,2.07644144656066,0.0410390766992924,0.348482314677923,61886.1520010492,115701.488445629,47982.841591275,37542.1515361873,545.917590715691,6742.1152064219,"2. Global"
22,2043,85518.3671755585,83019.4774053259,177573.882045522,7287.4681650573,33448.8539033957,0.0292205037673687,71984.4542168082,71991.1162639894,54395.7795851893,11035.0231885177,2115077.34591841,2.91426018218423,2.07644144656066,0.0410390766992924,0.348482314677923,61881.3574415681,115692.524603954,47979.1241750092,37539.2430005494,545.875296369124,6741.59286868817,"2. Global"
23,2044,85513.1481736056,83014.9714330179,177563.045093558,7287.02342655443,33441.3505087741,0.0292139488949226,71980.6216882232,71985.8972620365,54390.504011376,11034.3497447947,2114948.26729865,2.9152255764381,2.07644144656066,0.0410390766992924,0.348482314677923,61877.5809554634,115685.464138094,47976.1961122896,37536.952061316,545.841982774256,6741.18144378017,"2. Global"
24,2045,85509.0529251024,83011.460158276,177554.541549832,7286.67444897124,33435.1344770394,0.0292085186467219,71977.6388515664,71981.8020135333,54386.3408494091,11033.8213067096,2114846.98183658,2.91598318489565,2.07644144656066,0.0410390766992924,0.348482314677923,61874.6176208628,115679.923928969,47973.8985188842,37535.1544062182,545.815842249545,6740.8586067217,"2. Global"
25,2046,85505.8524631899,83008.7366085688,177547.895978068,7286.40172084194,33430.0013095176,0.0292040343752625,71975.3282794754,71978.6015516208,54383.0675772637,11033.4083290934,2114767.82662453,2.91657531108683,2.07644144656066,0.0410390766992924,0.348482314677923,61872.3017566323,115675.594221436,47972.1029354956,37533.7495276943,545.795413268582,6740.60630757335,"2. Global"
26,2047,85503.3621872563,83006.634713638,177542.725065907,7286.18951138112,33425.7753738251,0.0292003426502731,71973.5477219787,71976.1112756872,54380.5040235552,11033.0869916593,2114706.23604012,2.91703607449663,2.07644144656066,0.0410390766992924,0.348482314677923,61870.4997851932,115672.225280713,47970.7057940137,37532.6563932426,545.779517500712,6740.40999388041,"2. Global"
